text,category
Inga current frequent ah pogudhu romba kashtam,Electricity
Enga area la street light work aagala daily nadakudhu,Electricity
Enga area la power cut daily nadakudhu romba problem iruku,Electricity
Recent ah power cut daily nadakudhu daily nadakudhu,Electricity
Frequent garbage issue in street near my house,Garbage
Severe garbage piled on road near bus stand,Garbage
Complaint regarding sewage overflow in our street,Drainage
Frequent municipal waste problem in this locality,Garbage
Inga sewage problem iruku seekram solve pannunga,Drainage
There is bad smell from drainage near my house,Drainage
Namma street la waste bin overflow aagudhu seekram solve pannunga,Garbage
Issue of drainage water on road in my area,Drainage
Recent ah current frequent ah pogudhu romba problem iruku,Electricity
Frequent street lights not working near bus stand,Electricity
Severe water shortage near bus stand,Water
Enga area la water supply varala many days ah,Water
Enga area la garbage smell romba iruku many days ah,Garbage
Severe potholes on road in my area,Road
Namma street la sewage water road la odudhu romba problem iruku,Drainage
Frequent sewage water leakage in our street,Drainage
Frequent trash problem near my house,Garbage
Severe electricity outage near my house,Electricity
Complaint regarding waste dumped near house near bus stand,Garbage
Frequent tap water not coming for many days,Water
Complaint regarding potholes on road in this locality,Road
Indha area la trash road la iruku daily nadakudhu,Garbage
Issue of cracks on main road near my house,Road
There is electricity problem in my area,Electricity
There is clogged drainage in my area,Drainage
Issue of frequent power issue in our street,Electricity
Severe water leakage from pipe near my house,Water
There is bad smell from drainage in our street,Drainage
Complaint regarding road not motorable near my house,Road
There is waste collection delay in my area,Garbage
Enga area la drainage block aagi iruku daily nadakudhu,Drainage
Recent ah electricity supply illa daily nadakudhu,Electricity
Complaint regarding bad road condition in this locality,Road
Enga area la power cut daily nadakudhu many days ah,Electricity
There is power cut frequently in this locality,Electricity
Frequent municipal waste problem in this locality,Garbage
Facing tap water not coming in my area,Water
There is garbage not collected for many days,Garbage
Namma street la drainage block aagi iruku many days ah,Drainage
Issue of no water supply for many days,Water
Severe municipal waste problem near bus stand,Garbage
Issue of drainage water on road in this locality,Drainage
Inga road full ah holes iruku romba problem iruku,Road
